app_ref,council_id,lat,lng,applicant1,applicant2,applicant3,received_date,decision_date,address1,address2,address3,address4,decision,status,details,url,tweet_id
4195/10,3,53.3713683,-6.2397639,,,,2010-12-22,2011-02-14,"54, Annadale Crescent, Marino, Dublin 9",,,,C,9,Refurbishment of existing ground floor with a new single storey extension,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4195/10,1
4196/10,3,53.3620576,-6.2777944,,,,2010-12-22,2011-02-21,"22, Cabra Park, Dublin 7",,,,R,9,Retention of portion of unauthorised shed to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4196/10,1
4197/10,3,53.387129,-6.2652595,,,,2010-12-22,2011-02-14,"149, Ballymun Road, Dublin 9",,,,C,9,Single storey extension to front and first floor extension at side and rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4197/10,1
4198/10,3,,,,,,2010-12-22,2011-01-07,"Rear of 17, Anglesea Road, Dublin 4",,,,N,0,Construct detached part 2-storey over basement dwelling,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4198/10,1
4199/10,3,,,,,,2010-12-22,2011-02-14,"St. Saviour's Church, Dominick Street Lower, Dublin 1",,,,N,2,PROTECTED STRUCTURE-Construct ramped access with handrails,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4199/10,1
4200/10,3,53.3594594,-6.1958571,,,,2010-12-22,2011-02-24,"5, Vernon Avenue, Clontarf, Dublin 3",,,,C,9,Retention of alterations to shop front,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4200/10,1
4201/10,3,53.3946538,-6.2923247,,,,2010-12-22,2011-02-23,"86, Clancy Road, Finglas, Dublin 11",,,,C,9,Pitched roof to existing 1st floor extension over garage,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4201/10,1
4202/10,3,53.3293776,-6.2297589,,,,2010-12-22,2011-02-24,"238, Merrion Road, Ballsbridge, Dublin 4",,,,C,9,Change of use from retail to funeral home in the ground floor unit,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4202/10,1
4203/10,3,,,,,,2010-12-22,2011-02-23,"22-23, Duke Street, 6 & 7 Duke Lane and 6 & 7 Lemon Street, Dublin 2 (known as Creation Arcade)",,,,C,9,new 3 and part 4 storey building over an enlarged basement level; comprising,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4203/10,1
4204/10,3,,,,,,2010-12-22,2011-02-21,"Warrenmount Convent, Blackpitts, Dublin 8",,,,C,9,PROTECTED STRUCTURE-Change of use of convent building to education uses,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4204/10,1
4205/10,3,,,,,,2010-12-22,2011-02-18,"Dublin Castle, Dublin 2",,,,D,3,PROTECTED STRUCTURE - SAW -Modifications to the state apartments,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4205/10,1
4206/10,3,,,,,,2010-12-23,2011-02-24,"3, Belleville Avenue, Rathgar, Dublin 6",,,,N,2,"Improvement works to the front, rear & side facades",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4206/10,1
4208/10,3,53.3490899,-6.2644761,,,,2010-12-23,2011-02-22,"Aldo Store, 31-32, Mary Street, Dublin 1",,,,D,3,Retention for minor alterations to previous application ref. no. 2172/09,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4208/10,1
4209/10,3,53.3416425,-6.2728254,,,,2010-12-23,2011-01-10,"5, Saint Nicholas Place, Dublin 8",,,,N,0,Remove flat roof from existing extension to rear & provide lean-to & flat roof,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4209/10,1
4210/10,3,,,,,,2010-12-23,2011-02-21,"Unit S4, Parkwest Industrial Park, Dublin 12",,,,C,9,RETENTION: Of external shutter door & fire escape door,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4210/10,1
4211/10,3,53.3184666,-6.254939,,,,2010-12-23,2011-02-23,"74, Moyne Road, Ranelagh, Dublin 6",,,,C,9,PROTECTED STRUCTURE-RETENTION of new extension & other works,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4211/10,1
4212/10,3,53.3207832,-6.259922,,,,2010-12-23,2011-02-22,"3, Belgrave Road, Dublin 6",,,,C,9,PROTECTED STRUCTURE: Partial blocking up of ground floor door & other works,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4212/10,1
4213/10,3,53.3874804,-6.2391642,,,,2010-12-23,2011-02-23,"Site to side of 98A, Shantalla Road, Whitehall, Dublin 9",,,,R,9,Provide 2no. 2-storey 3-bed semi detached dwellings,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4213/10,1
4214/10,3,,,,,,2010-12-23,2011-02-16,"Alexandra Quay East, Alexandra Road, Dublin Port, Dublin 1",,,,C,9,New maintenance facility (486m2 approx),http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4214/10,1
4215/10,3,53.3632117,-6.2220493,,,,2010-12-23,2011-02-25,"26 & 28, Clontarf Road, Clontarf, Dublin 3",,,,C,9,Demolition of existing garage (area 14.1 sqm) & other works,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4215/10,1
4216/10,3,,,,,,2010-12-23,2011-01-14,"21, Heytesbury Street, Portobello, Dublin 8",,,,N,0,PROTECTED STRUCTURE-New flat roofed single storey extension to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4216/10,1
4217/10,3,53.3281795,-6.2620331,,,,2010-12-23,2011-01-10,"17, Mountpleasant Avenue Lower, Ranelagh, Dublin 6",,,,N,0,PROTECTED STRUCTURE-Refurbishment to include alterations throughout,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4217/10,1
4218/10,3,,,,,,2010-12-23,2011-02-18,"1 & 2, Castlewood Place, Rathmines, Dublin 6",,,,C,9,2no. signs on glazing panels of existing entrance door,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4218/10,1
4220/10,3,,,,,,2010-12-23,2011-02-25,"17 & 18, Kings Inn Street, Dublin 1",,,,C,9,RETENTION: Of the sub-division of the unit (619m2) & other wworks,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4220/10,1
4315/05/x1,3,,,,,,2010-09-24,2011-01-12,"Site at 8A, rear of Dorset Street Lower, Fronting On To Dorset Lane, Dublin 1",,,,C,9,construction of a 4 storey building with dormer windows to front and rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=4315/05/x1,1
5641/05/x1,3,,,,,,2010-12-09,2011-02-03,"Windermere, Hole In The Wall Road, Dublin 13",,,,C,9,construction of a 4 storey apartment building with 5 storey elements on corner,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=5641/05/x1,1
WEB1253/10,3,53.3758027,-6.2502753,,,,2010-12-06,2011-02-04,"237, Griffith Avenue, Drumcondra, Dublin 9",,,,C,9,Construction of first floor extension to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1253/10,1
WEB1254/10,3,53.3326488,-6.2248003,,,,2010-12-06,2011-02-04,"26, Serpentine Road, Dublin 4",,,,C,9,Demolition of existing (converted) garage construct 2 storey structure to front,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1254/10,1
WEB1255/10,3,53.3821026,-6.2397747,,,,2010-12-06,2010-12-10,"43, Yellow Road, Whitehall, Dublin 9",,,,N,0,"Erect a two storey extension to the back of existing, new vehicular access",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1255/10,1
WEB1256/10,3,53.3913952,-6.2833509,,,,2010-12-08,2010-12-13,"40, Grove Park Avenue, Dublin 11",,,,N,0,Permission sought to erect a first floor extension to side of existing two store,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1256/10,1
WEB1257/10,3,53.3917019,-6.2717583,,,,2010-12-09,2011-02-03,"54, Willow Park Grove, Dublin 11",,,,C,9,Demolition of 10.4m2 garage & construction of single storey extension to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1257/10,1
WEB1258/10,3,53.3177863,-6.2183227,,,,2010-12-10,2011-02-11,"43, Nutley Avenue, Dublin 4",,,,C,9,"Demolition of the existing two storey side extension, roof to be extended,",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1258/10,1
WEB1259/10,3,53.3821026,-6.2397747,,,,2010-12-13,2011-02-14,"43, Yellow Road, Whitehall, Dublin 9",,,,C,9,Permission sought to erect a two storey extension to the back of two storey end,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1259/10,1
WEB1260/10,3,53.3913952,-6.2833509,,,,2010-12-13,2011-02-07,"40, Grove Park Avenue, Dublin 11",,,,C,9,RETENTION - Permission sought to erect a first floor extension to side of,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1260/10,1
WEB1261/10,3,,,,,,2010-12-14,2010-12-22,"Site to side of, 1, Newbrook Avenue, Donaghmede, Dublin 13",,,,N,0,New Detached two Storey house with vehicle entrance known as 1A Newbrook Avenue,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1261/10,1
WEB1262/10,3,53.331554,-6.3481534,,,,2010-12-14,2011-02-04,"69, Bluebell Avenue, Bluebell, Dublin 12",,,,C,9,The development will consist of the construction of a new flat-roofed two-storey,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1262/10,1
WEB1263/10,3,53.3402804,-6.2769431,,,,2010-12-14,2010-12-22,"14, Park Terrace, The Coombe, Dublin 8",,,,N,0,"Alterations to previously granted permission Ref 5893/07 at 14a Park Terrace, Th",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1263/10,1
WEB1264/10,3,53.3941552,-6.2925939,,,,2010-12-16,2011-02-14,"37, Clancy Road, Finglas, Dublin 11",,,,C,9,Construction of a single storey porch extension to the front of the property,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1264/10,1
WEB1265/10,3,53.340653,-6.2235797,,,,2010-12-17,2011-02-11,"28, St. Brendan's Cottages, Irishtown, Dublin 4",,,,C,9,Demolish back porch & toilet & erect new single storey extension to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1265/10,1
WEB1266/10,3,53.375508,-6.1639174,,,,2010-12-20,2011-01-05,"34, The Grove, Bettyglen, Raheny, Dublin 5",,,,N,0,Convert attic to storage space,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1266/10,1
WEB1267/10,3,53.3216885,-6.2079381,,,,2010-12-21,2011-02-16,"30, Saint Alban's Park, Dublin 4",,,,R,9,Planning permission is sought for revisions to previously approved planning perm,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1267/10,1
WEB1268/10,3,53.3221742,-6.3240477,,,,2010-12-21,2011-01-05,"1A, Hughes Road South, Walkinstown, Dublin 12",,,,N,0,"Construction of single storey extension with lean too roof to side, 4 rooflight",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1268/10,1
WEB1269/10,3,53.3661032,-6.1970412,,,,2010-12-22,2011-02-24,"21A, Blackheath Court, Clontarf, Dublin 3",,,,C,9,First floor pitched roof vertical extension over footprint of existing bungalow,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1269/10,1
WEB1271/10,3,53.3089572,-6.2650062,,,,2010-12-22,2011-01-07,"20, St. Kevin's Park, Dartry, Dublin 6",,,,N,0,Alterations to the previously Granted Application (WEB1151/10),http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1271/10,1
WEB1272/10,3,53.3661687,-6.1970253,,,,2010-12-22,2011-02-24,"20, Blackheath Court, Clontarf, Dublin 3",,,,C,9,RETENTION of increased width of rear dormer shell,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=WEB1272/10,1
0001/11,3,53.3279555,-6.2596844,,,,2011-01-04,2011-01-31,"9, Mountpleasant Square, Ranelagh, Dublin 6",,,,C,9,Reinstatement of fanlight at front entrance by Irish Stained Glass,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0001/11,1
0002/11,3,53.3279555,-6.2596844,,,,2011-01-04,2011-01-31,"9, Mountpleasant Square, Dublin 6",,,,C,9,Refurbishment of 7 windows by Ventrolla Sash Window Renovation Specialists.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0002/11,1
0003/11,3,53.3789284,-6.2323802,,,,2011-01-04,2011-01-31,"203A, Collins Avenue, Whitehall, Dublin 9",,,,C,9,SHEC-Demolish dormer dwelling & construct new 2-storey apartment building,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0003/11,1
0004/11,3,53.3120087,-6.2635378,,,,2011-01-04,2011-01-28,"4, Sunbury Gardens, Dartry, Dublin 6",,,,R,9,EXPP: Removal of garage built 2005 to rear and installation of hardwood gates,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0004/11,1
0005/11,3,53.3324265,-6.2112105,,,,2011-01-06,2011-01-28,"27, Newgrove Avenue, Sandymount, Dublin 4",,,,R,9,EXPP: Removal of part roof slopes & other works,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0005/11,1
0006/11,3,,,,,,2011-01-06,2011-01-31,"Unit 20, Jamestown Business Park, Finglas, Dublin 11",,,,C,9,EXPP: Change of use within the class of use 'Light Industrial Building',http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0006/11,1
0007/11,3,,,,,,2011-01-06,2011-02-02,"183, Killester Avenue, Killester, Dublin 5",,,,C,9,EXPP:Request Section 5  to status of the Off- Street Car Parking space to side,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0007/11,1
0008/11,3,,,,,,2011-01-11,2011-01-18,"25, Wellington Lane, Ballsbridge, Dublin 4",,,,C,9,"SHEC:(1unit) Alterations to existing mews, construction of new 2 storey dwelling",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0008/11,1
0009/11,3,,,,,,2011-01-13,2011-02-09,"Unit 2, Ivy Exchange, Parnell Street, Dublin 1",,,,N,2,EXPP - Is the sale of alcohol in the subject unit permitted by way of an,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0009/11,1
0010/11,3,53.3998042,-6.2575216,,,,2011-01-13,2011-02-08,"26, Forestwood Avenue, Ballymun, Dublin 11",,,,D,3,EXPP - Dry dashing to front & side elevations,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0010/11,1
0011/11,3,,,,,,2011-01-18,2011-01-21,"12, Kimoroney Close, Donaghmede, Dublin, 13",,,,C,9,SHEC: Erection of 1no.2 Storey 3 Bed Detached Dwelling to side of existing.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0011/11,1
0012/11,3,,,,,,2011-01-19,2011-01-21,"Rear of, 17, Anglesea Road, Dublin, 4",,,,C,9,SHEC - Construct detached part 2 storey over basement dwelliing,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0012/11,1
0013/11,3,53.3929259,-6.3005431,,,,2011-01-20,2011-02-09,"13, McKee Avenue, Finglas East, Dublin 11",,,,C,9,EXPP - External insulation to be finished to match existing in colour,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0013/11,1
0014/11,3,53.3739906,-6.2129649,,,,2011-01-25,2011-02-21,"130, Collins Avenue East, Donnycarney, Dublin 5",,,,R,9,EXPP: Extension to end of terrace house,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0014/11,1
0015/11,3,53.3252324,-6.2605634,,,,2011-01-25,2011-02-21,"17, Mount Pleasant Avenue Lower, Ranelagh, Dublin 6",,,,D,3,EXPP: Essential Repair and Maintenance (Protected Structure),http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0015/11,1
0016/11,3,53.359489,-6.2728726,,,,2011-01-26,2011-02-22,"47, Phibsborough Road, Dublin 7",,,,R,9,EXPP: Alteration to existing signage and pillars.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0016/11,1
0017/11,3,53.3522836,-6.2672229,,,,2011-01-28,2011-02-24,"40/41, Dominic Street Lower, Dublin 1",,,,N,2,EXPP: Replace & repair windows to front of building facade.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0017/11,1
0018/11,3,53.3257383,-6.3073726,,,,2011-01-31,2011-02-02,"8, Raleigh Square, Crumlin, Dublin 12",,,,C,9,SHEC: (1unit) Detached two storey house with shared entrance.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0018/11,1
0020/11,3,53.3142341,-6.2854437,,,,2011-01-31,2011-02-21,"11, Ashdale Road, Terenure, Dublin 6w",,,,R,9,EXPP: Ground floor single storey extension of 15.93m2 to the rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0020/11,1
0281/10,3,53.3393247,-6.2582298,,,,2010-11-26,2011-02-03,"16, Stephen's Green, Dublin 2",,,,D,3,EXPP-Repairs to existing first floor balcony,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0281/10,1
0297/10,3,53.365304,-6.2468,,,,2010-12-16,2011-02-08,"St. Vincent's Hospital, Convent Avenue, Richmond Road, Fairview, Dublin 3",,,,C,9,EXPP: To accommodate new 12 bed adolescent psychiatric unit,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=0297/10,1
2002/11,3,53.3235784,-6.2504967,,,,2011-01-04,2011-02-18,"130, Ranelagh, Dublin 6",,,,R,9,Construct 2no. 2 storey over basement buildings for office & primary care centre,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2002/11,1
2003/11,3,,,,,,2011-01-04,2011-01-10,"39, Raymond Street, South Circular Road, Dublin 8",,,,N,0,Raising the rear portion of the roof by 1.2meters,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2003/11,1
2005/11,3,,,,,,2011-01-05,2011-03-01,"The Park Shopping Centre, Prussia Street, Dublin 7",,,,C,9,Extension (24.5sqm) to rear of existing Unit no. 2 (Park Pharmacy).,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2005/11,1
2006/11,3,53.3226552,-6.2642948,,,,2011-01-05,2011-03-01,"18, Castlewood Avenue, Rathmines, Dublin 6",,,,C,9,PROTECTED STRUCTURE - Alterations to form a new vehicular entrance,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2006/11,1
2007/11,3,53.3593859,-6.2444541,,,,2011-01-06,2011-03-02,"33, Kings Avenue, Ballybough, Dublin 3",,,,C,9,First floor rear extension over existing single storey extension,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2007/11,1
2008/11,3,53.3615611,-6.2152247,,,,2011-01-07,2011-03-02,"The Yacht Public House, 72-73, Clontarf Road, Clontarf, Dublin 3",,,,C,9,RETENTION - 7sqm of additional kitchen area at first floor level.,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2008/11,1
2009/11,3,,,,,,2011-01-07,2011-03-01,"2, Pembroke Cottages, Ringsend, Dublin 4",,,,C,9,Demolition of existing rear single storey pitched roof extension,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2009/11,1
2010/11,3,53.3382491,-6.2817944,,,,2011-01-07,2011-01-19,"115/116, Cork Street, The Coombe, Dublin 8",,,,N,0,PROTECTED STRUCTURE: Change of use from office to Language School,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2010/11,1
2011/11,3,53.3615611,-6.2152247,,,,2011-01-07,2011-03-03,"The Yacht, 72-73, Clontarf Road, Clontarf, Dublin 3",,,,C,9,Provision of a glazed rooflight over single storey lounge bar,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2011/11,1
2012/11,3,53.3654068,-6.1787482,,,,2011-01-10,2011-03-02,"56, Dollymount Avenue, Clontarf, Dublin 3",,,,C,9,Refurbishment and extension of the existing 2 storey semi-detached dwelling,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2012/11,1
2014/11,3,,,,,,2011-01-10,2011-03-02,"Unit No. 24, Kavanagh Avenue/Hume Avenue, Park West, Gallanstown, Dublin 12",,,,C,9,Extension of existing data hall buildings along east boundary,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2014/11,1
2015/11,3,53.3256681,-6.2727419,,,,2011-01-11,2011-03-02,"55, Mount Drummond Avenue, Dublin 6",,,,R,9,New first floor rear extension with two storey at side,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2015/11,1
2017/11,3,53.3404795,-6.26081,,,,2011-01-11,2011-01-14,"45, Grafton Street, Dublin 2",,,,N,0,Construct additional 24sqm of office space at rear of 2nd & 3rd floors,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2017/11,1
2018/11,3,,,,,,2011-01-11,2011-01-14,"25, Wellington Lane, Ballsbridge, Dublin 4",,,,N,0,Alterations to existing mews building & construction of new house to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2018/11,1
2019/11,3,,,,,,2011-01-12,2011-03-07,"The Dispensary, Cashel Road, Kimmage, Dublin 12",,,,N,2,"Partial demolition, conversion & reconstruction of former dispensary building",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2019/11,1
2020/11,3,,,,,,2011-01-12,2011-03-07,"5, Peter Place, Off Adelaide Road, Dublin 2",,,,C,9,Flat roof non habitable dormer extension to rear of main roof at attic level,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2020/11,1
2021/11,3,,,,,,2011-01-12,2011-01-17,"12, Greenmount Lawns, Off Greenmount Road,  Terenure, Dublin 6",,,,N,0,Conversion of attic space to additional bedroom,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2021/11,1
2022/11,3,53.3662628,-6.2169349,,,,2011-01-12,2011-03-07,"38, Hollybrook Road, Clontarf, Dublin 3",,,,C,9,PROTECTED STRUCTURE: For additional use of existing domestic kitchen,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2022/11,1
2023/11,3,53.3252324,-6.2605634,,,,2011-01-12,2011-03-08,"17, Mount Pleasant Avenue Lower, Ranelagh, Dublin 6",,,,C,9,PROTECTED STRUCTURE: Removal of cementicious render & other works,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2023/11,1
2024/11,3,53.3658522,-6.2416878,,,,2011-01-13,2011-03-01,"24, Waverley Avenue, Dublin 3",,,,C,9,RETENTION: Of existing attic dormer to rear,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2024/11,1
2025/11,3,53.3570873,-6.2724038,,,,2011-01-13,2011-02-23,"29, Royal Canal Bank, Dublin 7",,,,R,9,RETENTION-Of roof structure/protective anti-vandal cover sheeting,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2025/11,1
2026/11,3,,,,,,2011-01-13,2011-03-04,"Rear of 5, Royal Canal Terrace, Broadstone, Dublin 7",,,,C,9,PROTECTED STRUCTURE-Extension and conversion of existing garage,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2026/11,1
2027/11,3,,,,,,2011-01-14,2011-03-08,"Chanel College, Coolock Village, Malahide Road, Dublin 5",,,,C,9,For additional single storey school accommodation,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2027/11,1
2030/11,3,53.3984664,-6.2046591,,,,2011-01-14,2011-03-04,"23, Macroom Avenue, Coolock, Dublin 17",,,,C,9,Single storey front extension,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2030/11,1
2031/11,3,,,,,,2011-01-14,2011-03-10,"Abbey Street Methodist Church, Abbey Street Lower, Dublin 1",,,,R,9,"PROTECTED STRUCTURE-Alterations, renovations and part change of use",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2031/11,1
2032/11,3,,,,,,2011-01-17,2011-03-10,"81 & 81A, Furry Park Road, Killester, Dublin 5",,,,C,9,"Partial demolition, construct rear gable facade & Retain remaining extension",http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2032/11,1
2034/11,3,53.3582595,-6.2713301,,,,2011-01-17,2011-03-02,"38, Goldsmith Street, Phibsboro, Dublin 7",,,,R,9,Construction of new 4sqm bathroom at 1st floor to rear of existing house,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2034/11,1
2035/11,3,,,,,,2011-01-17,2011-03-07,"Unit 3, Meridian Court, Royal Canal Park, Pelletstown, Dublin 15",,,,C,9,Change of use of existing retail unit from retail to restaurant use,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2035/11,1
2036/11,3,53.3089453,-6.2982423,,,,2011-01-17,2011-03-08,"69, Parkmore Drive, Terenure, Dublin 6W",,,,R,9,Side entrance gate onto Greenlea Drive & a 2 storey extension to side,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=2036/11,1
